"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"3380","1qpR5mURxk3d8f6mww6uKT","Shura",52,207613,"art pop;electropop;indie pop;indie poptimism;pop;vapor soul","non_billboard",NA,"jazz, soul, r&b",1,0,0.000142502610730518
"3381","3NdOtTPPaXrCyC7Lpmzyhv","Tablo",51,207564,"k-pop;k-rap;korean r&b","non_billboard",NA,"jazz, soul, r&b",2,921.589955262003,0.00104708626922815
"3382","3cR4rhS2hBWqI7rJEBacvN","Leslie Odom Jr.",76,207559,"broadway;hollywood;show tunes;vocal jazz","billboard",54,"jazz, soul, r&b",11,142863.16599198,0.00429849046936763
"3383","2jYMYP2SVifgmzNRQJx3SJ","Modeselektor",52,207493,"alternative dance;electronica;microhouse;minimal techno;new rave","non_billboard",NA,"edm, techno, house",3,1677.87614027328,8.91410199991774e-05
"3384","6fmq5mv6HnduZdlTOEYBC9","Marcus Miller",49,207258,"electric bass;instrumental funk;jazz funk;jazz fusion;modern funk","non_billboard",NA,"jazz, soul, r&b",2,3859.95973868106,0.000137732258401415
"3385","31Ua7zSTJxegjyd49ujbSA","NSG",66,207189,"afro dancehall;afroswing;uk dancehall;uk hip hop","non_billboard",NA,"hip hop, rap",1,0,0.000679288312752727
"3386","392I9I5QMSyoA0FmI5pVfx","Yung Tory",51,207166,"canadian hip hop;canadian trap;melodic rap;toronto rap;vapor trap","non_billboard",NA,"hip hop, rap",1,0,0.00648000812536754
"3387","1iUTUix5kea176M0uJTsh4","DMA'S",60,207113,"australian indie;modern rock","non_billboard",NA,"rock",1,0,1.94172623392246e-05
"3388","3OiVNeHkjQfnikmcBXbplT","Megan Nicole",56,206993,"post-teen pop;viral pop","non_billboard",NA,"pop",2,0,0.000319534114442663
"3389","5BKzvAPtNXnt0LwzGvKOH3","Aaron Watson",59,206722,"contemporary country;country;country road;modern country rock;red dirt;texas country","billboard",230,"country",5,88734,4.76115516429032e-06
"3390","0p4ViyfJUTW0IT4SCBLexf","Drakeo the Ruler",69,206598,"cali rap","non_billboard",NA,"hip hop, rap",4,1536.01080955282,0.0132706461592192
"3391","6TshTCYwh9ySzOO6Jy4Ux2","Maya Jane Coles",55,206451,"deep disco house;deep house;electra;electronica;house;microhouse;minimal tech house;uk house","non_billboard",NA,"edm, techno, house",9,154994.680249803,0.00475826750920461
"3392","0DtXHIvJ8NWBg5pGvsgWnR","Leikeli47",54,206444,"alternative r&b;escape room;hip pop;trap queen","non_billboard",NA,"jazz, soul, r&b",2,3556.27850854234,0.00225452164343075
"3393","6NL31G53xThQXkFs7lDpL5","Rapsody",57,206238,"alternative hip hop;escape room;hip hop;north carolina hip hop;trap queen;underground hip hop","non_billboard",NA,"hip hop, rap",9,8030.71119539623,0.0290947015556954
"3394","5Jz9kKRnCRLTodCH58MyB4","Daz Dillinger",63,206204,"g funk;gangster rap;hip hop;rap;west coast rap;west coast trap","non_billboard",NA,"jazz, soul, r&b",4,1129.91178408051,0.0238195022984355
"3395","5jTAPkN0XtPH0cinWMRyzw","The Gregg Allman Band",41,206139,"blues rock;country rock;southern rock","non_billboard",NA,"country",2,0,9.50139332157143e-08
"3396","5wBDD4FNJvob5fAGkAIQ92","Lil' Mo",55,205450,"contemporary r&b;hip pop;r&b;urban contemporary","non_billboard",NA,"jazz, soul, r&b",7,5165.74526633622,0.021496385644706
"3397","0asVlqTLu3TimnYVyY5Jxi","Tune-Yards",48,205448,"art pop;escape room;freak folk;indie pop;indie rock;new rave;one-person band","non_billboard",NA,"edm, techno, house",2,2263.78584913671,7.3705676925886e-05
"3398","6k7TX5dxiKZiwMWTn8ZKbl","Celly Cel",46,205158,"g funk;gangster rap;hyphy;west coast rap;west coast trap","non_billboard",NA,"jazz, soul, r&b",1,0,0.00750917191304945
"3399","4c6lhwoOrmgNWvl0GxHlW1","Tedashii",54,205137,"christian hip hop;christian trap","non_billboard",NA,"hip hop, rap",4,4293.77639613848,0.00111103970346324
"3400","3tZdknQnzsVIIdaGCTj4RX","Quimico Ultra Mega",63,205023,"dembow;dominican pop;rap dominicano;trap dominicano;trap latino","non_billboard",NA,"latin",2,0,0.0048171653254562
"3401","52oVYHQ99ORZzeig2YGo4R","Colton Dixon",53,205001,"ccm;christian alternative rock;christian music;christian pop;worship","non_billboard",NA,"rock",1,0,3.65525942729994e-05
"3402","2g6fa86fL6oLcoDqanBbuR","Delta Goodrem",61,204887,"australian pop;australian talent show;dance pop;europop","non_billboard",NA,"pop",1,0,0.00046484173397275
"3403","1gkSl4XpHIHI4I1WQbfXOE","Peaches",50,204728,"alternative dance;art pop;dance-punk;electroclash;escape room;new rave","non_billboard",NA,"edm, techno, house",2,4381.43781430133,0.000517415080318975
"3404","1456WwI15Lm9CktCzkLZvm","Josh Gracin",51,204660,"contemporary country;country;country pop;country road;modern country rock","non_billboard",NA,"country",1,0,9.32365816452729e-05
"3405","7w1eTNePApzDk8XtgykCPS","Malaa",60,204635,"bass house;edm;electro house;house","non_billboard",NA,"edm, techno, house",4,197.678268501382,0.0132966438413632
