"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","track_number","album_name","mode_name","key_mode","artist_ids","track_popularity"
"36","album","2020-02-29",2020,0.886,0.672,1,0.188,0.526,91.976,"2n7ohqg1s68ToAHh4u9mcW","Bad Bunny",192024,"Vete",10,"YHLQMDLG","major","C# major","4q3ewBCX7sLwd24euuV69X",76
"37","album","2020-02-29",2020,0.85,0.536,1,0.0599,0.505,96.029,"38RIEav39FGi86jppxO0du","Bad Bunny;Sech",210606,"Ignorantes",11,"YHLQMDLG","major","C# major","4q3ewBCX7sLwd24euuV69X;77ziqFxp5gaInVrF2lj4ht",75
"38","album","2020-02-29",2020,0.86,0.791,0,0.0568,0.887,92.023,"4r9jkMEnArtWGH2rL2FZl0","Bad Bunny",175918,"A Tu Merced",12,"YHLQMDLG","major","C major","4q3ewBCX7sLwd24euuV69X",85
"39","album","2020-02-29",2020,0.55,0.598,11,0.0831,0.543,83.836,"5J7teKIJGtqVypgYI6sqXj","Bad Bunny;Mora",232496,"Una Vez",13,"YHLQMDLG","minor","B minor","4q3ewBCX7sLwd24euuV69X;0Q8NcsJwoCbZOHHW63su5S",82
"40","album","2020-02-29",2020,0.607,0.829,2,0.379,0.685,96.172,"2DEZmgHKAvm41k4J3R2E9Y","Bad Bunny;Jowell & Randy;Ñengo Flow",295176,"Safaera",14,"YHLQMDLG","major","D major","4q3ewBCX7sLwd24euuV69X;4IMAo2UQchVFyPH24PAjUs;12vb80Km0Ew53ABfJOepVz",81
"41","album","2020-02-29",2020,0.761,0.732,4,0.0549,0.542,151.982,"4NqQaovM14WR2hNPMFxgjb","Bad Bunny",243275,"25/8",15,"YHLQMDLG","minor","E minor","4q3ewBCX7sLwd24euuV69X",75
"42","album","2020-02-29",2020,0.81,0.854,10,0.254,0.879,154.083,"4saHEjXw7O1NXJOzBkUKKG","Bad Bunny;Anuel AA",227939,"Está Cabrón Ser Yo",16,"YHLQMDLG","minor","A# minor","4q3ewBCX7sLwd24euuV69X;2R21vXR83lH98kGeO99Y66",73
"43","album","2020-02-29",2020,0.867,0.686,4,0.221,0.658,139.968,"5gCg2qMPzKkW4jS4dBKdDs","Bad Bunny;Myke Towers",190207,"Puesto Pa' Guerrial",17,"YHLQMDLG","major","E major","4q3ewBCX7sLwd24euuV69X;7iK8PXO48WeuP03g8YR51W",68
"44","album","2020-02-29",2020,0.82,0.635,5,0.0772,0.528,101.024,"0fgsKar6uBO08vzHXkTjWi","Bad Bunny;Kendo Kaponi;Arcangel",258280,"P FKN R",18,"YHLQMDLG","minor","F minor","4q3ewBCX7sLwd24euuV69X;1WMwuNKzEFtU6pPkdtryYS;4SsVbpTthjScTS7U2hmr1X",71
"45","album","2020-02-29",2020,0.683,0.677,1,0.0469,0.514,156.019,"1V8XneTrX6kKeoxYbk4x6h","Bad Bunny;Duki;Pablo Chill-E",240253,"Hablamos Mañana",19,"YHLQMDLG","major","C# major","4q3ewBCX7sLwd24euuV69X;1bAftSH8umNcGZ0uyV7LMg;2XcZshqzPKm3iZcmt73R8D",74
"46","album","2020-02-29",2020,0.631,0.665,10,0.229,0.634,80.353,"4MZSqgwlE71CWZ6qQ3gkKm","Bad Bunny",157967,"<3",20,"YHLQMDLG","minor","A# minor","4q3ewBCX7sLwd24euuV69X",74
"47","album","2019-06-28",2019,0.45,0.842,0,0.102,0.885,172.069,"71pEiUWwfDFiRO6RmFpnBf","J Balvin;Bad Bunny",187333,"MOJAITA",1,"OASIS","major","C major","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",69
"48","album","2019-06-28",2019,0.785,0.792,9,0.0641,0.528,155.036,"0uIfrUwwg0Z7KTitul7E3T","J Balvin;Bad Bunny",249600,"YO LE LLEGO",2,"OASIS","minor","A minor","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",69
"49","album","2019-06-28",2019,0.845,0.813,4,0.077,0.586,90.98,"6SYSu569pfYdkDT9A5lZqi","J Balvin;Bad Bunny",198320,"CUIDAO POR AHÍ",3,"OASIS","minor","E minor","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",67
"50","album","2019-06-28",2019,0.639,0.791,10,0.253,0.939,92.603,"25ZAibhr3bdlMCLmubZDVt","J Balvin;Bad Bunny",222346,"QUE PRETENDES",4,"OASIS","minor","A# minor","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",79
