"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","album_name","mode_name","key_mode","artist_ids","track_popularity"
"290","single","2019-04-06",2019,0.797,0.744,9,0.0892,0.722,93.981,"2N8qVDq1MI0wKHngJMLlbZ","Luigi 21 Plus;J Balvin",205253,"Siempre Papi Nunca Inpapi","Siempre Papi Nunca Inpapi","major","A major","77GVmrLGuxNEvj2ibvT62v;1vyhD5VmyZ7KMfW5gqLgo5",50
"291","single","2019-04-01",2019,0.757,0.798,1,0.0589,0.71,128.022,"1j1za8SLRop8GupCgIbX4h","J Balvin",161973,"La Rebelión","La Rebelión","major","C# major","1vyhD5VmyZ7KMfW5gqLgo5",48
"292","single","2019-03-28",2019,0.882,0.689,6,0.124,0.746,97.963,"2qG5sZ7Si6sdK74qLxedYM","ROSALÍA;J Balvin;El Guincho",161626,"Con Altura","Con Altura","major","F# major","7ltDVBr6mKbRvohxheJ9h1;1vyhD5VmyZ7KMfW5gqLgo5;1oMiDFyAgmIzw9ZBQYHOJI",78
"293","single","2019-03-14",2019,0.828,0.588,2,0.118,0.598,94.052,"37eGbhE1xVFSvcKkqGb6i1","Sean Paul;J Balvin",224680,"Contra La Pared","Contra La Pared","major","D major","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5",71
"294","single","2019-03-14",2019,0.662,0.347,7,0.733,0.143,93.955,"0wBVVajkFTuH1sDMEhBzGN","Sean Paul;J Balvin",224680,"Contra La Pared - Instrumental","Contra La Pared","minor","G minor","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5",27
"295","single","2019-02-28",2019,0.541,0.468,10,0.362,0.69,95.266,"1WSGTYKLEpKfNQYYW5Oymt","benny blanco;Selena Gomez;J Balvin;Tainy",158027,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","minor","A# minor","5CiGnKThu5ctn9pBxv7DGa;0C8ZW7ezQVs4URX5aX7Kqx;1vyhD5VmyZ7KMfW5gqLgo5;0GM7qgcRCORpGnfcN2tCiB",69
"296","single","2019-02-22",2019,0.834,0.777,5,0.0593,0.865,129.984,"1OUPXna2MCgAt3VNmXJBtg","Tropkillaz;J Balvin;Anitta;Mc Zaac",193440,"Bola Rebola","Bola Rebola","minor","F minor","5bzWtCkjIAMgN93gLt56SO;1vyhD5VmyZ7KMfW5gqLgo5;7FNnA9vBm6EKceENgCGRMb;76Xa625geVw0Q7BdyxNjA2",68
"297","single","2019-02-13",2019,0.862,0.838,9,0.28,0.74,130.135,"5QmQslczlpMX0kNABJBCVz","Static & Ben El;J Balvin",201755,"TUDO BOM","TUDO BOM","major","A major","0xHa28taiElkcQf9o3z76g;1vyhD5VmyZ7KMfW5gqLgo5",36
"298","single","2019-01-18",2019,0.797,0.664,0,0.0762,0.795,134.953,"4mYG9quN0JnwiXzku5aqdI","Sky Rompiendo;J Balvin;Jhay Cortez;MadeinTYO",287226,"Bajo Cero","Bajo Cero","minor","C minor","51XrH5fQP2oIQynuKxSWcW;1vyhD5VmyZ7KMfW5gqLgo5;0EFisYRi20PTADoJrifHrz;5SyGEPymt1G2uto47tVWvZ",51
"299","single","2018-11-17",2018,0.747,0.74,4,0.191,0.552,176.059,"2D3z17LBMJ2HEHeBFFjTLi","J Balvin",158800,"Reggaeton","Reggaeton","minor","E minor","1vyhD5VmyZ7KMfW5gqLgo5",70
