"","id","name","popularity","followers.total","genres","type","total_num_songs"
"80","0BvkDsjIUla7X0k6CSWh1I","Luke Bryan",79,6801524,"contemporary country;country;country road","billboard",185
"81","181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion",86,5309433,"houston rap;pop;trap queen","billboard",177
"82","2eIB6vFotL2su94z3pUC1j","Elvie Shane",59,12683,"0","billboard",60
"83","70kkdajctXSbqSMJbQO424","Kacey Musgraves",79,1038770,"contemporary country;country dawn;pop;texas country","billboard",125
"84","3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival",80,4618654,"classic rock;country rock;rock;southern rock;swamp rock","billboard",119
"85","7z5WFjZAIYejWy0NI5lv4T","Dan + Shay",79,2423397,"contemporary country;country;pop","billboard",114
"86","7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers",82,5656363,"boy band;dance pop;pop;post-teen pop","billboard",179
"87","2kCO8LXN1usaOPL3iEE28I","Tai Verdes",76,337831,"modern indie pop","billboard",75
"88","4kYSro6naA4h99UJvo89HB","Cardi B",86,18249955,"dance pop;pop;pop rap;rap","billboard",113
"89","2sG4zTOLvjKG1PSoOyf5Ej","Brandi Carlile",70,553758,"acoustic pop;folk;indie folk;lilith;modern folk rock;neo mellow;new americana;stomp and holler","billboard",226
"90","2kucQ9jQwuD8jWdtR9Ef38","Sam Hunt",76,2141755,"contemporary country;country pop","billboard",75
"91","048LktY5zMnakWq7PTtFrz","CKay",86,164135,"afro r&b","billboard",40
"92","36QJpDe2go2KgaRleHCDTp","Led Zeppelin",80,11349097,"album rock;classic rock;hard rock;rock","billboard",77
"93","4MVyzYMgTwdP7Z49wAZHx0","Lynyrd Skynyrd",75,3673179,"album rock;blues rock;classic rock;country rock;hard rock;mellow gold;rock;southern rock","billboard",529
"94","4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert",90,12214945,"melodic rap;philly rap;rap;trap","billboard",153
"95","0Njy6yR9LykNKYg9yE23QN","Nardo Wick",69,36788,"florida rap","billboard",11
"96","5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.",80,6857471,"east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap","billboard",199
"97","6yJCxee7QumYr820xdIsjo","Zac Brown Band",76,2818217,"contemporary country;country;country road;modern country rock","billboard",159
"98","6WY7D3jk8zTrHtmkqqo5GI","Maren Morris",78,605876,"contemporary country;country;texas country","billboard",46
"99","53KwLdlmrlCelAZMaLVZqU","James Blake",76,1217269,"alternative r&b;indie soul;uk alternative pop","billboard",212
"100","1URnnhqYAYcrqrcwql10ft","21 Savage",89,10275131,"atl hip hop;hip hop;rap;trap","billboard",235
"101","1UTPBmNbXNTittyMJrNkvw","Blake Shelton",75,6065564,"contemporary country;country;country road;oklahoma country","billboard",186
"102","3Y7RZ31TRPVadSFVy1o8os","H.E.R.",80,4394575,"alternative r&b;dance pop;pop;r&b","billboard",146
"103","6v8FB84lnmJs434UJf2Mrm","Neil Young",72,2352406,"album rock;canadian singer-songwriter;classic canadian rock;classic rock;mellow gold;permanent wave;rock;roots rock;singer-songwriter","billboard",853
"104","6P7H3ai06vU1sGvdpBwDmE","Steely Dan",70,1513296,"album rock;art rock;classic rock;country rock;folk rock;mellow gold;psychedelic rock;rock;roots rock;soft rock;yacht rock","billboard",209
"105","59HbaJ5E8ud7FNLGqUN1KH","Capella Grey",70,17781,"pop rap","billboard",32
"106","50co4Is1HCEo8bhOyUWKpn","Young Thug",91,6633148,"atl hip hop;atl trap;gangster rap;melodic rap;pop rap;rap;trap","billboard",491
"107","2KC9Qb60EaY0kW4eH68vr3","ITZY",79,2820662,"k-pop girl group","billboard",130
"108","6ZV6lGY0prbqpTD0Md8i29","Scotty McCreery",65,749782,"contemporary country;country;country road;modern country rock","billboard",125
"109","6x2LnllRG5uGarZMsD4iO8","Thomas Rhett",77,3935862,"contemporary country;country;country road;modern country rock","billboard",194
"110","7n2Ycct7Beij7Dj7meI4X0","TWICE",84,10960619,"k-pop;k-pop girl group","billboard",541
"111","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots",85,21288211,"modern rock;rock","billboard",174
"112","0bDUXDIVbwZC0NVw26b4D3","KK's Priest",44,13017,"hard rock;metal;power metal","billboard",30
"113","55Aa2cqylxrFIXC767Z865","Lil Wayne",90,11010830,"hip hop;new orleans rap;pop rap;rap;trap","billboard",938
"114","7xklw3WodFZiNNmQt3DIgp","Angels & Airwaves",65,563400,"modern rock;pop punk;socal pop punk","billboard",308
"115","1ZN1c1qWEGZNX1pGeKCPpf","Billy Strings",63,157982,"jam band;jamgrass;progressive bluegrass","billboard",73
"116","44tQC1PjxXIpEgW0i8uN00","Tremonti",56,89786,"alternative metal;modern hard rock","billboard",104
"117","6mdiAmATAx73kdxrNrnlao","Iron Maiden",77,6795474,"hard rock;metal;nwobhm;rock","billboard",167
"118","3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses",82,22251991,"glam metal;hard rock;rock","billboard",100
"119","5a2EaR3hamoenG9rDuVn8j","Prince",74,5615034,"funk;funk rock;minneapolis sound;synth funk","billboard",804
"120","4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens",73,1392962,"baroque pop;chamber pop;freak folk;indie folk;singer-songwriter","billboard",450
"121","2hlmm7s2ICUX0LVIhVFlZQ","Gunna",89,3545398,"atl hip hop;hip hop;melodic rap;rap;trap","billboard",238
"122","5pyVHz7lcfqKoV9BflFYwN","Jameson Rodgers",64,43868,"contemporary country;country;country pop","billboard",36
"123","6tPHARSq45lQ8BSALCfkFC","Lainey Wilson",61,28272,"contemporary country;country pop","billboard",46
"124","3b8QkneNDz4JHKKKlLgYZg","Florida Georgia Line",80,4516145,"contemporary country;country;country pop;country road;modern country rock","billboard",263
"125","1FtBEIWAwvw5ymBen5GICR","Chlöe",72,106516,"0","billboard",2
