"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"5491","2kPVkB8dB3OksVdC9RfbX0","Roma Zuckerman",17,2240,"russian techno","non_billboard",0,"edm, techno, house",1,0,9.24637679313773e-05
"5492","3lN70MoiO9u6b95CsTeB1J","Pearson Sound",34,24817,"bass music;classic dubstep;float house;future garage","non_billboard",0,"edm, techno, house",5,53261.0519261201,0.00127070372270473
"5493","23QKqAkKwti9zBiac6RFBA","Jlin",30,26047,"afrofuturism;art pop;deconstructed club;electra;fluxwork;footwork;intelligent dance music","non_billboard",0,"pop",2,13896.3610181329,0.000105444593365841
"5494","0XJJvePiFq9yoUgbvCvBR6","Mala",36,4084,"old school rap francais","non_billboard",0,"hip hop, rap",1,0,9.24637679313774e-05
"5495","644PvPeYIyoq0n0eBP5fxG","Steffi",32,14906,"ambient techno;electra","non_billboard",0,"edm, techno, house",1,0,9.24637679313771e-05
"5496","2EWIKpC6npt0GTe1Cq1KDm","Yoshiki",53,68189,"classic j-pop","non_billboard",0,"pop",2,23751.9318995232,0.000109089214986565
"5497","5eitAUlYmlha3LLWg7aBn5","Kelly Lee Owens",48,86070,"alternative dance;art pop;chamber psych;electra;electronica;microhouse","non_billboard",0,"edm, techno, house",3,36655.9134132423,0.000256595239659141
"5498","4DQhY1frmXKYW7aTmMt669","Correy C",37,1109,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5499","4VA3EAvncrTucjTmrvd4GE","LION BABE",55,194416,"alternative r&b;electropop;escape room;indie r&b;indie soul;neo soul","non_billboard",0,"jazz, soul, r&b",2,1642.68318253107,0.000932775762510656
"5500","7DkftpjbqLhwjlCUe567y9","Moe Moks",41,2269,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5501","5HnzTd0q7wjiNPHgbBs2S9","mOma+guy",31,354,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5502","5uSPw567JqDS1n5JVB6PQA","KQuick",38,59,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5503","3SUJd097Mz6529lZ7v2UC9","Irvin Washington",13,23,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5504","5BO8aIDUyNtvnq98qMIs85","Mack Wilds",35,46566,"alternative r&b","non_billboard",0,"jazz, soul, r&b",2,411.17502915389,0.00431921724526677
"5505","6ADCG07C3l5lYqgxxvMhZD","K-Quick",36,418,"0","non_billboard",0,"other",2,106.410443072877,0.00319004144785956
"5506","59oA5WbbQvomJz2BuRG071","Jungle",71,673063,"indie soul;uk contemporary r&b","non_billboard",0,"jazz, soul, r&b",3,10933.9281664516,0.00586296929307583
"5507","27CNmUe34ahHuxvayd8Jse","PRICE",38,3198,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5508","2DGBzoOLcKLK3eWxFyugdB","Dua Saleh",51,47525,"alternative r&b;escape room;indie r&b;minnesota hip hop;sudanese pop","non_billboard",0,"jazz, soul, r&b",1,0,0.00042528137229871
"5509","1QAhhoqYJHkwJt7YHXrzYj","Say3",21,510,"0","non_billboard",0,"other",1,0,0.00042528137229871
"5510","2FwDTncULUnmANIh7qKa5z","FKJ",72,1023424,"filter house;indie soul","non_billboard",0,"edm, techno, house",1,0,0.000425281372298709
"5511","6asmpfwwanm7jSQldjBu7y","B. Lewis",36,4449,"abstract beats","non_billboard",0,"other",2,415.410751044018,0.00263237264691961
"5512","7zNK87FEWbBWd4ecCEq5rR","KDDO",42,5184,"afropop;nigerian pop","non_billboard",0,"pop",1,0,0.00042528137229871
"5513","3NBmfDV6Yh3hjuQUBVvYgO","Better Oblivion Community Center",52,89655,"indie pop;indie rock","non_billboard",0,"rock",1,0,5.19532280589855e-05
"5514","2Z7gV3uEh1ckIaBzTUCE6R","Conor Oberst",55,142098,"indie folk;indie pop;indie rock;melancholia;omaha indie;stomp and holler","non_billboard",0,"rock",2,1106.80104253807,5.39781656259829e-05
"5515","6Gl4Q3ePw6HKMfIOix5QpG","Bartees Strange",43,19854,"bubblegrunge;indie pop","non_billboard",0,"pop",1,0,5.19532280589857e-05
"5516","1wpftBruYql3kTa4Px6kze","Glitch Gum",57,14426,"0","non_billboard",0,"other",1,0,5.19532280589853e-05
"5517","2sSGPbdZJkaSE2AbcGOACx","The Marías",70,610696,"bedroom pop;indie pop;la indie","non_billboard",0,"pop",1,0,5.19532280589854e-05
"5518","6iKiDPed4LAQEcPZpvf00m","Maria Taylor",45,14993,"alabama indie","non_billboard",0,"other",1,0,5.19532280589851e-05
"5519","1NpeO0rYdDwUjtaXMDlb25","Rob Moose",43,765,"bow pop","non_billboard",0,"pop",1,0,5.19532280589852e-05
"5520","73ncMtW1GnmFlo8E3ptIQg","Tom Waits Tribute",24,792,"0","non_billboard",0,"other",2,78338.9172533557,5.19923648914424e-05
"5521","34482S5nfxR441wcnVfrHi","Noah Gundersen",57,126283,"acoustic pop;alternative roots rock;indie folk;stomp and holler","non_billboard",0,"rock",1,0,5.19532280589854e-05
"5522","5BlKoQLYxv24MSV5AD6i6q","Abby Gundersen",44,5308,"0","non_billboard",0,"other",1,0,5.19532280589854e-05
"5523","64EHXDoln95lnccszdPum0","Royal & the Serpent",66,95526,"alt z;indie electropop;modern alternative pop;social media pop","non_billboard",0,"pop",1,0,2.14354482558965e-05
"5524","7o5gxy3lEGcP62TNIppa7w","LEFTI",32,3107,"disco house","non_billboard",0,"edm, techno, house",3,2170.5685187108,0.00196395496941358
"5525","6qLB9SoM25z2JDFBcgvJ8G","Ødyssey",41,20287,"0","non_billboard",0,"other",1,0,2.14354482558964e-05
"5526","7B503BdhEf6rglo5KaukO2","THANKS",17,1622,"0","non_billboard",0,"other",2,330.159549393244,2.39640401077007e-05
"5527","31Eea8xaK1xAMyJy2iWE0z","Eden Prince",57,13399,"dance pop;deep groove house;house;pop dance;tropical house;uk dance","non_billboard",0,"edm, techno, house",13,91035.2362803404,0.00917252698053507
"5528","4GIqbOr0FgE9qmJ31kVYdD","Hannibal Buress",48,75502,"black comedy;comedy;comic;new comedy","non_billboard",0,"other",3,124.518231791561,0.0109205958956849
"5529","4hRL2QmahOYxXNmNKtG1AI","Valee",51,156143,"chicago rap;underground hip hop;vapor trap","non_billboard",0,"hip hop, rap",5,689.805019981095,0.0264448861879328
"5530","5fikk4h5qbEebqK2Fc6e48","En Vogue",61,996729,"dance pop;girl group;hip hop;hip pop;neo soul;new jack swing;r&b;urban contemporary","non_billboard",0,"jazz, soul, r&b",1,0,0.00385062431621458
"5531","6CqjoQyGZlnhnq5gAUz92c","Taylor Bennett",51,112572,"chicago rap;drill;lgbtq+ hip hop;pop rap","non_billboard",0,"pop",2,641.256315014904,0.00472010016019653
"5532","05fo024EFotg9songSENOZ","CocoRosie",48,318373,"art pop;folktronica;freak folk;new weird america","non_billboard",0,"pop",1,0,0.00385062431621457
"5533","23EA28263XvtIrXuySX6oI","Francis and the Lights",55,141937,"alternative r&b","non_billboard",0,"jazz, soul, r&b",4,8439.34807493423,0.00631845343846347
"5534","49O0SPoCoTiK2Nn2tOaHyU","Knox Fortune",54,22459,"chicago indie","non_billboard",0,"other",1,0,0.00385062431621457
"5535","2NmK5FyrQ18HOPXq1UBzqa","SWV",64,1403748,"dance pop;girl group;hip hop;hip pop;neo soul;new jack swing;pop;quiet storm;r&b;urban contemporary","non_billboard",0,"jazz, soul, r&b",2,4211.02918574109,0.00394015671747693
"5536","1XSB3sCl9cFQhmzaXIZQRd","Pretty Vee",27,74,"0","non_billboard",0,"other",2,61.2588085250198,0.00481490483702539
"5537","61677A13kBwbTfqECI65p8","DIXSON",38,4750,"0","non_billboard",0,"other",3,43294,0.00536800293987407
"5538","6e64nPdtxyICfh90RJukpg","Chicago Children's Choir",45,1747,"american choir;children's choir","non_billboard",0,"other",1,0,0.00385062431621457
"5539","4UodukR17NIQfNu5uaqm9B","Jamila Woods",57,172780,"afrofuturism;alternative r&b;escape room;indie soul","non_billboard",0,"jazz, soul, r&b",3,0,0.00497493655301473
"5540","23sYU61n9f1CzYi8NJhAXS","Towkio",54,53935,"chicago rap","non_billboard",0,"hip hop, rap",1,0,0.00385062431621457
"5541","2uP6Mer05NJAZypWG5HSiK","My cousin Nicole",36,450,"0","non_billboard",0,"other",1,0,0.00385062431621457
"5542","5xI4mPixKfrCCspATqbpy3","Eryn Allen Kane",51,68002,"alternative r&b;indie soul","non_billboard",0,"jazz, soul, r&b",2,0,0.00536696645550361
"5543","2PU4qFehXQF7WnlFsJpBiJ","Raury",56,182231,"psychedelic hip hop","non_billboard",0,"hip hop, rap",5,3248.02899845062,0.0194243816903072
"5544","7AguDSkWdr8NzTOvpTID4W","Lili K",41,1615,"neo r&b","non_billboard",0,"jazz, soul, r&b",1,0,0.00385062431621457
"5545","7xDiCwbxPFkL5mFgjirxpV","Nate Fox",38,275,"0","non_billboard",0,"other",1,0,0.00385062431621457
"5546","0IVapwlnM3dEOiMsHXsghT","Nosaj Thing",51,186316,"bass music;chillwave;electronica;glitch hop;microhouse;wonky","non_billboard",0,"edm, techno, house",3,16738.4508555131,0.00415801267262647
"5547","0JdGPxHeRGfOyZg3EHwp2g","Alex Wiley",47,84085,"chicago rap;deep underground hip hop;pop rap;underground hip hop","non_billboard",0,"pop",2,0,0.00426756207337876
"5548","2pHQOZq131jMXYSTjP3Ncx","Akenya",41,3528,"0","non_billboard",0,"other",1,0,0.00385062431621457
"5549","6lEUWZRliB7tJKM8W2BOya","Sulaiman",35,512,"0","non_billboard",0,"other",3,1148.84253118997,0.00801346352399916
"5550","0r5qTPVvJFFeM6fqe7GDne","Nico Segal",32,1480,"0","non_billboard",0,"other",2,7481.92274623655,0.00387518077516086
"5551","4mkGZGaUTIpyG1LnZ6nNIi","Peter CottonTale",49,22632,"0","non_billboard",0,"other",2,0,0.00536696645550362
"5552","5ISXAUt037t6aYhvewRtzd","Smoko Ono",44,1461,"0","non_billboard",0,"other",2,36489.7778618964,0.00385152825541232
"5553","1ewyVtTZBqFYWIcepopRhp","Joey Purp",57,113981,"chicago rap;indie hip hop;underground hip hop","non_billboard",0,"hip hop, rap",3,3113.72150051537,0.0054532741106796
"5554","3hJNrfFurTlGFglmBwyFFM","Grace Weber",39,8559,"milwaukee indie","non_billboard",0,"other",2,0,0.00536696645550361
"5555","3HGmrfO5u74WgnYN3wmfdQ","DJ Pharris",35,2382,"0","non_billboard",0,"other",2,0,0.0130806316358227
"5556","5Joy3NHmxKQGEOnjxtaMz3","Rockie Fresh",44,37389,"chicago rap;soul flow","non_billboard",0,"jazz, soul, r&b",4,322.483916443874,0.0229292585445156
"5557","46UMQ0cW8ToR8egkBRwAxZ","Cynthia Erivo",60,71869,"0","non_billboard",0,"other",5,15755.7693566201,0.0101069783149135
"5558","5aIudIa5jdxKBDLH1qVPWC","Matt Jones (Re-Collective Orchestra)",24,17,"0","non_billboard",0,"other",1,0,0.00385062431621457
"5559","6lEhBhAv6HOopjXssi09cq","TisaKorean",63,49650,"houston rap;viral rap","non_billboard",0,"hip hop, rap",1,0,0.00385062431621457
"5560","05kWC05qQmocVoC5Udgl6D","Supa Bwe",41,28398,"pop rap;underground hip hop","non_billboard",0,"pop",1,0,0.00385062431621457
"5561","0yWuhITiYSrjzBrgT4NKsb","Forever Band",30,180,"0","non_billboard",0,"other",1,0,0.00385062431621457
"5562","1JLOa6XxG8bAIRgsTv4Fej","David Van dePitte",16,47,"0","non_billboard",0,"other",1,0,4.64153274907444e-05
"5563","0F577kU2Hk9gr4mAzK60tZ","Harvey Fuqua",36,617,"0","non_billboard",0,"other",1,0,4.64153274907446e-05
"5564","7usTdtUG4YAEd7yCBExneu","Gordon Banks",11,439,"0","non_billboard",0,"other",1,0,4.64153274907448e-05
"5565","5iqe5lyonNanzLHAeR1bYc","Florence Lyles",3,10,"0","non_billboard",0,"other",1,0,4.64153274907445e-05
"5566","75jNCko3SnEMI5gwGqrbb8","Tammi Terrell",68,131784,"motown","non_billboard",0,"other",1,0,4.64153274907446e-05
"5567","71pUA2TXf3JHUPUgsjLtuL","Kim Weston",49,23950,"motown;northern soul","non_billboard",0,"jazz, soul, r&b",1,0,4.64153274907447e-05
"5568","1cjZk1xXn3YCToNg3uJpA7","Mary Wells",55,229306,"brill building pop;classic soul;funk;motown;rhythm and blues;soul;souldies","non_billboard",0,"jazz, soul, r&b",1,0,4.64153274907446e-05
"5569","30AzZL0valZQ62OIQiFWvk","Beverley Knight",50,66399,"british soul;neo soul","non_billboard",0,"jazz, soul, r&b",2,1557.88744901468,0.00034624603065829
"5570","1C6G15UmVQMDGpYbdsf1Oi","Lord Finesse",49,84159,"alternative hip hop;bronx hip hop;east coast hip hop;hardcore hip hop;hip hop;jazz boom bap;turntablism","non_billboard",0,"jazz, soul, r&b",1,0,4.64153274907448e-05
"5571","7ldgPqwe1wCb25bKqeuryy","John Morales",34,3849,"0","non_billboard",0,"other",1,0,4.64153274907445e-05
