"","id","name","popularity","followers.total","genres","type","total_num_songs"
"69","5R3Hr2cnCCjt220Jmt2xLf","Dillon Francis",69,1076153,"brostep;dance pop;edm;electro house;electronic trap;electropop;house;moombahton;pop;pop dance;slap house;tropical house","non_billboard",NA
"70","0xAI0encQKIoTvNQXPh1ts","Heavy-K",44,135224,"afro house;afro soul;south african house;south african pop","non_billboard",NA
"71","4Q6nIcaBED8qUel8bBx6Cr","Jax Jones",79,977509,"dance pop;edm;electro house;house;pop;pop dance;pop rap;tropical house;uk dance","non_billboard",NA
"72","0NGAZxHanS9e0iNHpR8f2W","Alok",84,10919642,"electro house;pop nacional;slap house","non_billboard",NA
"73","4AKwRarlmsUlLjIwt38NLw","Ofenbach",77,459903,"dance pop;edm;electro house;new french touch;pop;pop dance;tropical house","non_billboard",NA
"74","6YCM9JwkqdEFQSzztmh4Kb","Navos",65,14538,NA,"non_billboard",NA
"75","7b79bQFziJFedJb75k6hFt","Tion Wayne",76,446484,"london rap","non_billboard",NA
"76","5H4yInM5zmHqpKIoMNAx4r","Central Cee",79,587799,"drill brasileiro","non_billboard",NA
"77","0ksX396B3t2Gt8kwr0BJZk","Fumez The Engineer",74,274950,"uk drill;uk melodic rap","non_billboard",NA
"78","6DgP9otnZw5z6daOntINxp","Joel Corry",82,240188,"dance pop;pop;pop dance;tropical house;uk dance","non_billboard",NA
"79","4FcZfItjVIsfO9TynErl7X","Jubël",68,56034,"dance pop;deep house;edm;pop dance;swedish pop;tropical house","non_billboard",NA
"80","1XQiB7Gp309l4aHhzgGIlY","Kooldrink",41,763,NA,"non_billboard",NA
"81","72nLe76yBFSlP6VBzME358","SHAUN",66,299778,"k-pop","non_billboard",NA
"82","3m5qlPf2OkihLz3dRYnkPA","Ovy On The Drums",68,126770,"colombian pop;latin;latin pop;reggaeton;reggaeton colombiano;trap latino","non_billboard",NA
"83","0xRXCcSX89eobfrshSVdyu","MEDUZA",80,481179,"edm;pop;pop dance;pop house;tropical house","non_billboard",NA
"84","2tAbkZSNg8OdcUVzSOrYRW","Andy Jarvis",38,3073,NA,"non_billboard",NA
"85","1yqxFtPHKcGcv6SXZNdyT9","MK",69,234547,"dance pop;deep groove house;edm;house;pop dance;tropical house","non_billboard",NA
"86","6k970rXaWAWVfWMjqWtFNI","Steel Banglez",58,171729,"afroswing;birmingham grime;grime;london rap;uk hip hop","non_billboard",NA
"87","3egWSWp7Y4FyCKIyvXbw7L","Ghali",69,2787465,"italian hip hop;italian pop;milan indie;rap tunisien","non_billboard",NA
"88","20gsENnposVs2I4rQ5kvrf","Sam Feldt",78,667558,"dance pop;edm;electro house;pop;pop dance;pop edm;tropical house","non_billboard",NA
"89","1sLYZv95ZXwVfyGHan5w45","Jaykae",61,182735,"birmingham grime;birmingham hip hop;grime;uk alternative hip hop;uk hip hop","non_billboard",NA
"90","2PJEagPIxaBugeMjIyKVXF","Aitch",71,767211,"manchester hip hop","non_billboard",NA
"91","620OB54yrIruI9dcHX41zT","Sir Spyro",41,14765,"grime;instrumental grime","non_billboard",NA
"92","1PNvaesh1mkKZucGhBuqgD","Danny L Harle",51,47435,"art pop;electropop;escape room;hyperpop","non_billboard",NA
"93","5v8ZROs9c26k4yGMxUkebt","Jack Wins",58,33040,"deep groove house;edm;electro house;house;pop dance;pop edm","non_billboard",NA
"94","5jAMCwdNHWr7JThxtMuEyy","NOTD",71,214488,"alt z;dance pop;edm;electro house;electropop;pop;pop dance;pop edm;tropical house","non_billboard",NA
